code,name,geography,area_sq_km,population,person_per_sq_km
E06000047,County Durham,Unitary Authority,2225.861,528127,237
E06000005,Darlington,Unitary Authority,197.4779,109469,554
E06000001,Hartlepool,Unitary Authority,93.71700000000001,93861,1002
E06000002,Middlesbrough,Unitary Authority,53.881800000000005,148285,2752
E06000057,Northumberland,Unitary Authority,5019.897800000001,324362,65
E06000003,Redcar and Cleveland,Unitary Authority,245.06959999999998,137175,560
E06000004,Stockton-on-Tees,Unitary Authority,204.9332,199966,976
E08000037,Gateshead,Metropolitan District,142.3392,197722,1389
E08000021,Newcastle upon Tyne,Metropolitan District,113.4515,307565,2711
E08000022,North Tyneside,Metropolitan District,82.3005,210487,2558
E08000023,South Tyneside,Metropolitan District,64.4205,148667,2308
E08000024,Sunderland,Metropolitan District,137.4364,277354,2018
E06000008,Blackburn with Darwen,Unitary Authority,137.0223,155762,1137
E06000009,Blackpool,Unitary Authority,34.8708,141574,4060
E06000049,Cheshire East,Unitary Authority,1166.3578,406527,349
E06000050,Cheshire West and Chester,Unitary Authority,920.018,361694,393
E06000063,Cumberland,Unitary Authority,3012.2075,275390,91
E06000006,Halton,Unitary Authority,79.0842,128964,1631
E06000007,Warrington,Unitary Authority,180.628,211580,1171
E06000064,Westmorland and Furness,Unitary Authority,3755.7383999999997,227643,61
E08000001,Bolton,Metropolitan District,139.7921,298903,2138
E08000002,Bury,Metropolitan District,99.46,194606,1957
E08000003,Manchester,Metropolitan District,115.6485,568996,4920
E08000004,Oldham,Metropolitan District,142.3448,243912,1714
E08000005,Rochdale,Metropolitan District,158.1283,226992,1435
E08000006,Salford,Metropolitan District,97.1974,278064,2861
E08000007,Stockport,Metropolitan District,126.0404,297107,2357
E08000008,Tameside,Metropolitan District,103.1542,232753,2256
E08000009,Trafford,Metropolitan District,106.04469999999999,236301,2228
E08000010,Wigan,Metropolitan District,188.1709,334110,1776
E07000117,Burnley,Non-metropolitan District,110.6839,95553,863
E07000118,Chorley,Non-metropolitan District,202.7622,118624,585
E07000119,Fylde,Non-metropolitan District,165.6975,83008,501
E07000120,Hyndburn,Non-metropolitan District,73.00659999999999,83213,1140
E07000121,Lancaster,Non-metropolitan District,566.9313999999999,144446,255
E07000122,Pendle,Non-metropolitan District,169.38,96110,567
E07000123,Preston,Non-metropolitan District,142.2842,151582,1065
E07000124,Ribble Valley,Non-metropolitan District,583.1764,63107,108
E07000125,Rossendale,Non-metropolitan District,138.0411,71169,516
E07000126,South Ribble,Non-metropolitan District,113.1417,112166,991
E07000127,West Lancashire,Non-metropolitan District,346.6333,119367,344
E07000128,Wyre,Non-metropolitan District,282.16450000000003,114809,407
E08000011,Knowsley,Metropolitan District,86.5001,157103,1816
E08000012,Liverpool,Metropolitan District,111.8358,496770,4442
E08000014,Sefton,Metropolitan District,156.5785,281027,1795
E08000013,St. Helens,Metropolitan District,136.3587,184728,1355
E08000015,Wirral,Metropolitan District,160.9219,322453,2004
E06000011,East Riding of Yorkshire,Unitary Authority,2403.5994,346309,144
E06000010,"Kingston upon Hull, City of",Unitary Authority,71.5837,268852,3756
E06000012,North East Lincolnshire,Unitary Authority,192.62290000000002,157754,819
E06000013,North Lincolnshire,Unitary Authority,846.5402,170042,201
E06000065,North Yorkshire,Unitary Authority,8037.3722,623501,78
E06000014,York,Unitary Authority,271.9312,204551,752
E08000016,Barnsley,Metropolitan District,329.0777,246482,749
E08000017,Doncaster,Metropolitan District,568.0064,311027,548
E08000018,Rotherham,Metropolitan District,286.5344,268354,937
E08000019,Sheffield,Metropolitan District,367.93019999999996,566242,1539
E08000032,Bradford,Metropolitan District,366.41970000000003,552644,1508
E08000033,Calderdale,Metropolitan District,363.9609,207699,571
E08000034,Kirklees,Metropolitan District,408.5516,437593,1071
E08000035,Leeds,Metropolitan District,551.7067,822483,1491
E08000036,Wakefield,Metropolitan District,338.6197,357729,1056
E06000015,Derby,Unitary Authority,78.0312,263490,3377
E06000016,Leicester,Unitary Authority,73.3422,373399,5091
E06000061,North Northamptonshire,Unitary Authority,986.5946,363408,368
E06000018,Nottingham,Unitary Authority,74.6134,328513,4403
E06000017,Rutland,Unitary Authority,381.8311,41151,108
E06000062,West Northamptonshire,Unitary Authority,1377.4108999999999,429013,311
E07000032,Amber Valley,Non-metropolitan District,265.4379,126944,478
E07000033,Bolsover,Non-metropolitan District,160.3346,81553,509
E07000034,Chesterfield,Non-metropolitan District,66.03529999999999,104110,1577
E07000035,Derbyshire Dales,Non-metropolitan District,792.4242999999999,71752,91
E07000036,Erewash,Non-metropolitan District,109.6301,113080,1031
E07000037,High Peak,Non-metropolitan District,539.1433999999999,91109,169
E07000038,North East Derbyshire,Non-metropolitan District,275.6237,103783,377
E07000039,South Derbyshire,Non-metropolitan District,338.12690000000003,111133,329
E07000129,Blaby,Non-metropolitan District,130.4687,104182,799
E07000130,Charnwood,Non-metropolitan District,279.0426,184748,662
E07000131,Harborough,Non-metropolitan District,591.7966,100481,170
E07000132,Hinckley and Bosworth,Non-metropolitan District,297.3514,114298,384
E07000133,Melton,Non-metropolitan District,481.38059999999996,52433,109
E07000134,North West Leicestershire,Non-metropolitan District,279.3279,107672,385
E07000135,Oadby and Wigston,Non-metropolitan District,23.5261,58341,2480
E07000136,Boston,Non-metropolitan District,364.00849999999997,70806,195
E07000137,East Lindsey,Non-metropolitan District,1766.7735999999998,144415,82
E07000138,Lincoln,Non-metropolitan District,35.6901,102545,2873
E07000139,North Kesteven,Non-metropolitan District,922.4714,119709,130
E07000140,South Holland,Non-metropolitan District,750.0762,96983,129
E07000141,South Kesteven,Non-metropolitan District,942.5857000000001,144249,153
E07000142,West Lindsey,Non-metropolitan District,1155.732,96817,84
E07000170,Ashfield,Non-metropolitan District,109.5581,127179,1161
E07000171,Bassetlaw,Non-metropolitan District,637.8035,120012,188
E07000172,Broxtowe,Non-metropolitan District,80.0988,112113,1400
E07000173,Gedling,Non-metropolitan District,119.9818,117730,981
E07000174,Mansfield,Non-metropolitan District,76.6974,111117,1449
